id,section,section_name,title,graph,status,census_rank
27,III,"Equality saturation, term rewriting and theorem-guided search",Cross-relation rewrite synthesis,C,protocol,
28,III,"Equality saturation, term rewriting and theorem-guided search",Bidirectional rewrite orientation,C,protocol,
29,III,"Equality saturation, term rewriting and theorem-guided search",Equivalence modulo representation,C,protocol,
30,III,"Equality saturation, term rewriting and theorem-guided search",Equivalence modulo world/effect constraints,C,protocol,
31,III,"Equality saturation, term rewriting and theorem-guided search",Higher-order equivalence,C,protocol,
32,III,"Equality saturation, term rewriting and theorem-guided search",Rewrite-law provenance and trust,C,protocol,
33,IV,Superoptimization and synthesis,Instruction superoptimization,D,protocol,
34,IV,Superoptimization and synthesis,Semantic-region superoptimization,D,protocol,
35,IV,Superoptimization and synthesis,CEGIS / counterexample-guided synthesis,D,protocol,
36,IV,Superoptimization and synthesis,SMT-backed synthesis,D,protocol,
37,IV,Superoptimization and synthesis,Sketch-guided synthesis,D,protocol,
38,IV,Superoptimization and synthesis,Program-by-example optimization,D,protocol,
39,IV,Superoptimization and synthesis,Agent-generated optimization candidates,D,protocol,
40,IV,Superoptimization and synthesis,Competitor-binary mining,D,protocol,
41,IV,Superoptimization and synthesis,Rule generalization,D,protocol,
42,IV,Superoptimization and synthesis,"Search across algorithm families, not just instruction families",D,protocol,
43,IV,Superoptimization and synthesis,Offline synthesis databases per target,D,protocol,
44,V,Verified compilation / proof-carrying compilation,Translation validation for every important transformation,C,partial,12
45,V,Verified compilation / proof-carrying compilation,Translation validation for final graph-region → machine region,C,partial,
46,V,Verified compilation / proof-carrying compilation,Target instruction formal semantics,C,partial,
47,V,Verified compilation / proof-carrying compilation,Memory-model formal semantics,C,partial,
48,V,Verified compilation / proof-carrying compilation,ABI refinement validation,C,partial,
49,V,Verified compilation / proof-carrying compilation,Foreign-boundary refinement validation,C,partial,
50,V,Verified compilation / proof-carrying compilation,Proof-carrying machine fragments,C,partial,
51,V,Verified compilation / proof-carrying compilation,Proof-carrying cache entries,C,partial,
52,V,Verified compilation / proof-carrying compilation,Proof-carrying profile specialization,C,partial,
53,V,Verified compilation / proof-carrying compilation,Proof-carrying JIT patches,C,partial,
54,V,Verified compilation / proof-carrying compilation,Proof-carrying agent-generated code,C,partial,
55,V,Verified compilation / proof-carrying compilation,Differential semantic execution as fallback proof technique,C,partial,
56,V,Verified compilation / proof-carrying compilation,Randomized / fuzz refinement controls where formal proof is unavailable,C,partial,
57,V,Verified compilation / proof-carrying compilation,Proof minimization and replay,C,partial,
58,VI,Polyhedral and affine compilation,Affine relation detection from graph relations,D,research,9
59,VI,Polyhedral and affine compilation,Iteration-domain sets,D,research,
60,VI,Polyhedral and affine compilation,Access relations,D,research,
61,VI,Polyhedral and affine compilation,Dependence polyhedra,D,research,
62,VI,Polyhedral and affine compilation,Loop interchange,D,research,
63,VI,Polyhedral and affine compilation,Loop tiling/blocking,D,research,
64,VI,Polyhedral and affine compilation,Loop fusion/fission/distribution,D,research,
65,VI,Polyhedral and affine compilation,Loop skewing when cost model justifies it,D,research,
66,VI,Polyhedral and affine compilation,Loop reversal,D,research,
67,VI,Polyhedral and affine compilation,Strip mining,D,research,
68,VI,Polyhedral and affine compilation,Loop coalescing,D,research,
69,VI,Polyhedral and affine compilation,Software pipelining,D,research,
70,VI,Polyhedral and affine compilation,Wavefront parallelization,D,research,
71,VI,Polyhedral and affine compilation,Automatic prefetch scheduling,D,research,
72,VI,Polyhedral and affine compilation,DMA scheduling for accelerators,D,research,
73,VI,Polyhedral and affine compilation,Memory-layout transformations derived from access geometry,D,research,
74,VI,Polyhedral and affine compilation,Affine index linearization/delinearization,D,research,
75,VI,Polyhedral and affine compilation,Dependence-guided parallel execution,D,research,
76,VI,Polyhedral and affine compilation,Piecewise/quasi-affine extension,D,research,
77,VI,Polyhedral and affine compilation,Presburger reasoning where useful,D,research,
78,VII,DSL-style schedule separation and autotuning,Semantic computation vs physical schedule separation,D,partial,11
79,VII,DSL-style schedule separation and autotuning,Schedule search as realization search,D,partial,
80,VII,DSL-style schedule separation and autotuning,Loop ordering/tile sizes/unroll/vector widths as realization facts,D,partial,
81,VII,DSL-style schedule separation and autotuning,Thread/block mapping search,D,partial,
82,VII,DSL-style schedule separation and autotuning,GPU occupancy-aware schedule search,D,partial,
83,VII,DSL-style schedule separation and autotuning,Cache hierarchy-aware tiling,D,partial,
84,VII,DSL-style schedule separation and autotuning,NUMA-aware placement,D,partial,
85,VII,DSL-style schedule separation and autotuning,Prefetch distance tuning,D,partial,
86,VII,DSL-style schedule separation and autotuning,Parallel grain-size tuning,D,partial,
87,VII,DSL-style schedule separation and autotuning,Persistent tuning database,D,partial,
88,VII,DSL-style schedule separation and autotuning,Cross-program reuse of schedule knowledge,D,partial,
89,VII,DSL-style schedule separation and autotuning,Cross-device transfer learning for schedule cost models,D,partial,
90,VII,DSL-style schedule separation and autotuning,Zero-search rule-based baseline + selective search for hot regions,D,partial,
91,VII,DSL-style schedule separation and autotuning,Profile-guided re-tuning,D,partial,
92,VII,DSL-style schedule separation and autotuning,Runtime schedule migration for long-running systems,D,partial,
93,VII,DSL-style schedule separation and autotuning,Autotuned memory layout,D,partial,
94,VII,DSL-style schedule separation and autotuning,Autotuned compression/encoding selection,D,partial,
95,VII,DSL-style schedule separation and autotuning,Autotuned foreign-call batching,D,partial,
96,VIII,Hardware synthesis / CIRCT / HLS,Semantic region → synthesized hardware pipeline,D,research,16
97,VIII,Hardware synthesis / CIRCT / HLS,Latency/throughput/resource constraints as demand,D,research,
98,VIII,Hardware synthesis / CIRCT / HLS,Bitwidth minimization using exact range/known-bits facts,D,research,
99,VIII,Hardware synthesis / CIRCT / HLS,Pipeline initiation-interval optimization,D,research,
100,VIII,Hardware synthesis / CIRCT / HLS,Register retiming,D,research,
101,VIII,Hardware synthesis / CIRCT / HLS,Streaming dataflow realization,D,research,
102,VIII,Hardware synthesis / CIRCT / HLS,On-chip memory banking,D,research,
103,VIII,Hardware synthesis / CIRCT / HLS,BRAM/URAM/local memory inference,D,research,
104,VIII,Hardware synthesis / CIRCT / HLS,ROM inference,D,research,
105,VIII,Hardware synthesis / CIRCT / HLS,Shift-register recognition,D,research,
106,VIII,Hardware synthesis / CIRCT / HLS,Operator sharing vs duplication,D,research,
107,VIII,Hardware synthesis / CIRCT / HLS,Area vs latency vs energy Pareto choice,D,research,
108,VIII,Hardware synthesis / CIRCT / HLS,Custom instruction synthesis,D,research,
109,VIII,Hardware synthesis / CIRCT / HLS,FPGA partial reconfiguration realization,D,research,
110,VIII,Hardware synthesis / CIRCT / HLS,ASIC specialization candidate generation,D,research,
111,VIII,Hardware synthesis / CIRCT / HLS,Near-memory / processing-in-memory placement,D,research,
112,VIII,Hardware synthesis / CIRCT / HLS,FPGA/GPU/CPU heterogeneous partitioning from one graph,D,research,
113,VIII,Hardware synthesis / CIRCT / HLS,Network-on-chip communication cost modeling,D,research,
114,VIII,Hardware synthesis / CIRCT / HLS,Clock-domain / synchronization realization facts,D,research,
115,VIII,Hardware synthesis / CIRCT / HLS,Approximate hardware realization where demand permits bounded error,D,research,
116,IX,Dataflow / streaming / graph execution,General dataflow interpretation of dependency graph,D,partial,
117,IX,Dataflow / streaming / graph execution,Actor fusion,D,partial,
118,IX,Dataflow / streaming / graph execution,Producer-consumer fusion,D,partial,
119,IX,Dataflow / streaming / graph execution,Streaming buffer minimization,D,partial,
120,IX,Dataflow / streaming / graph execution,Pipeline depth selection,D,partial,
121,IX,Dataflow / streaming / graph execution,Backpressure semantics,D,partial,
122,IX,Dataflow / streaming / graph execution,Bounded-buffer inference,D,partial,
123,IX,Dataflow / streaming / graph execution,Static scheduling of synchronous dataflow,D,partial,
124,IX,Dataflow / streaming / graph execution,Dynamic scheduling only where statically unavoidable,D,partial,
125,IX,Dataflow / streaming / graph execution,Batching vs streaming realization choice,D,partial,
126,IX,Dataflow / streaming / graph execution,Buffer reuse across nonoverlapping lifetimes,D,partial,
127,IX,Dataflow / streaming / graph execution,Cross-stage stream fusion,D,partial,
128,IX,Dataflow / streaming / graph execution,Network/distributed stream partitioning,D,partial,
129,IX,Dataflow / streaming / graph execution,Zero-copy sink/source chaining,D,partial,
130,IX,Dataflow / streaming / graph execution,Incremental stream computation,D,partial,
131,X,Database/query compiler territory,Query-style relation ordering,D,partial,
132,X,Database/query compiler territory,Join-order optimization,D,partial,
133,X,Database/query compiler territory,"Join algorithm selection: hash, sort-merge, nested loop, index lookup",D,partial,
134,X,Database/query compiler territory,Predicate pushdown,D,partial,
135,X,Database/query compiler territory,Projection pushdown,D,partial,
136,X,Database/query compiler territory,Late materialization,D,partial,
137,X,Database/query compiler territory,Vectorized execution,D,partial,
138,X,Database/query compiler territory,Compiled query execution,D,partial,
139,X,Database/query compiler territory,Morsel-driven parallelism,D,partial,
140,X,Database/query compiler territory,Adaptive joins,D,partial,
141,X,Database/query compiler territory,Cardinality estimation as uncertainty facts,D,partial,
142,X,Database/query compiler territory,Statistics propagation,D,partial,
143,X,Database/query compiler territory,Cost-based plan enumeration,D,partial,
144,X,Database/query compiler territory,Runtime reoptimization when estimates fail,D,partial,
145,X,Database/query compiler territory,Index synthesis,D,partial,
146,X,Database/query compiler territory,Perfect hash synthesis,D,partial,
147,X,Database/query compiler territory,Bloom-filter insertion,D,partial,
148,X,Database/query compiler territory,Materialized-view reuse,D,partial,
149,X,Database/query compiler territory,Incremental view maintenance,D,partial,
150,X,Database/query compiler territory,Column vs row representation selection,D,partial,
151,X,Database/query compiler territory,Compression encoding selection,D,partial,
152,X,Database/query compiler territory,Predicate/vector fusion,D,partial,
153,X,Database/query compiler territory,Compilation tiers tuned to query lifetime,D,partial,
154,XI,Incremental and self-adjusting computation,Demand-driven semantic queries,E,protocol,
155,XI,Incremental and self-adjusting computation,Memoized graph fact queries,E,protocol,
156,XI,Incremental and self-adjusting computation,Fine-grained dependency tracking,E,protocol,
157,XI,Incremental and self-adjusting computation,Dynamic dependency discovery,E,protocol,
158,XI,Incremental and self-adjusting computation,Minimal invalidation,E,protocol,
159,XI,Incremental and self-adjusting computation,Self-adjusting evaluation,E,protocol,
160,XI,Incremental and self-adjusting computation,Change propagation through arbitrary relations,E,protocol,
161,XI,Incremental and self-adjusting computation,Incremental parser state,E,protocol,
162,XI,Incremental and self-adjusting computation,Incremental semantic graph,E,protocol,
163,XI,Incremental and self-adjusting computation,Incremental specialization,E,protocol,
164,XI,Incremental and self-adjusting computation,Incremental machine-region regeneration,E,protocol,
165,XI,Incremental and self-adjusting computation,Incremental linker/object section regeneration,E,protocol,
166,XI,Incremental and self-adjusting computation,Incremental optimization proof reuse,E,protocol,
167,XI,Incremental and self-adjusting computation,Cross-process persistent query cache,E,protocol,
168,XI,Incremental and self-adjusting computation,Distributed semantic cache,E,protocol,
169,XI,Incremental and self-adjusting computation,Speculative parallel query execution,E,protocol,
170,XI,Incremental and self-adjusting computation,Priority scheduling based on user-visible demand,E,protocol,
171,XII,Sea-of-Nodes / control-data unification,Control dependency represented as ordinary semantic dependency where possible,D,partial,
172,XII,Sea-of-Nodes / control-data unification,Global value numbering from identity + facts,D,partial,
173,XII,Sea-of-Nodes / control-data unification,"Dominance as derived physical/control fact, not fundamental semantics",D,partial,
174,XII,Sea-of-Nodes / control-data unification,Control elimination when data/guard facts make it unnecessary,D,partial,
175,XII,Sea-of-Nodes / control-data unification,Schedule late from partially ordered dependencies,D,partial,
176,XII,Sea-of-Nodes / control-data unification,Pinned vs movable effects,D,partial,
177,XII,Sea-of-Nodes / control-data unification,Global common-subexpression elimination across control regions,D,partial,
178,XII,Sea-of-Nodes / control-data unification,Memory dependence integration without separate MemorySSA ontology,D,partial,
179,XII,Sea-of-Nodes / control-data unification,Late block formation,D,partial,
180,XII,Sea-of-Nodes / control-data unification,Late instruction scheduling,D,partial,
181,XIII,Escape analysis and virtualization à la Graal/Truffle,Virtual objects that never materialize,D,partial,13
182,XIII,Escape analysis and virtualization à la Graal/Truffle,Partial escape analysis,D,partial,
183,XIII,Escape analysis and virtualization à la Graal/Truffle,Object scalar replacement across calls,D,partial,
184,XIII,Escape analysis and virtualization à la Graal/Truffle,Virtual closure environments,D,partial,
185,XIII,Escape analysis and virtualization à la Graal/Truffle,Virtual result packs,D,partial,
186,XIII,Escape analysis and virtualization à la Graal/Truffle,Virtual iterators,D,partial,
187,XIII,Escape analysis and virtualization à la Graal/Truffle,Virtual errors/outcomes,D,partial,
188,XIII,Escape analysis and virtualization à la Graal/Truffle,Virtual string builders,D,partial,
189,XIII,Escape analysis and virtualization à la Graal/Truffle,Virtual world/capability contexts,D,partial,
190,XIII,Escape analysis and virtualization à la Graal/Truffle,Virtual coroutine frames,D,partial,
191,XIII,Escape analysis and virtualization à la Graal/Truffle,Deoptimization reconstruction recipes,D,partial,
192,XIII,Escape analysis and virtualization à la Graal/Truffle,Debugger reconstruction without retaining physical objects,D,partial,
193,XIV,Speculative specialization / deoptimization,Guarded shape specialization,D,partial,
194,XIV,Speculative specialization / deoptimization,Guarded relation-target specialization,D,partial,
195,XIV,Speculative specialization / deoptimization,Guarded value/range specialization,D,partial,
196,XIV,Speculative specialization / deoptimization,Guarded world sealing,D,partial,
197,XIV,Speculative specialization / deoptimization,Guarded effect assumptions,D,partial,
198,XIV,Speculative specialization / deoptimization,Polymorphic inline caches,D,partial,
199,XIV,Speculative specialization / deoptimization,Megamorphic fallback only when needed,D,partial,
200,XIV,Speculative specialization / deoptimization,On-stack replacement,D,partial,
201,XIV,Speculative specialization / deoptimization,Deoptimization metadata generated from semantic provenance,D,partial,
202,XIV,Speculative specialization / deoptimization,Speculation budgets,D,partial,
203,XIV,Speculative specialization / deoptimization,Speculation profitability models,D,partial,
204,XIV,Speculative specialization / deoptimization,Speculation invalidation through exact dependencies,D,partial,
205,XIV,Speculative specialization / deoptimization,Cross-run speculation persistence,D,partial,
206,XIV,Speculative specialization / deoptimization,Tierless speculative AOT/JIT continuum,D,partial,
207,XV,Profile-guided and feedback-directed optimization,Edge/application execution frequency,A,partial,
208,XV,Profile-guided and feedback-directed optimization,Value profiles,A,partial,
209,XV,Profile-guided and feedback-directed optimization,Relation-target profiles,A,partial,
210,XV,Profile-guided and feedback-directed optimization,Shape profiles,A,partial,
211,XV,Profile-guided and feedback-directed optimization,Allocation profiles,A,partial,
212,XV,Profile-guided and feedback-directed optimization,Memory locality profiles,A,partial,
213,XV,Profile-guided and feedback-directed optimization,Branch probability,A,partial,
214,XV,Profile-guided and feedback-directed optimization,Path profiles,A,partial,
215,XV,Profile-guided and feedback-directed optimization,Hardware counter profiles,A,partial,
216,XV,Profile-guided and feedback-directed optimization,Cache miss profiles,A,partial,
217,XV,Profile-guided and feedback-directed optimization,Energy/thermal profiles,A,partial,
218,XV,Profile-guided and feedback-directed optimization,Latency tail profiles,A,partial,
219,XV,Profile-guided and feedback-directed optimization,Online profile decay,A,partial,
220,XV,Profile-guided and feedback-directed optimization,Per-world profile separation,A,partial,
221,XV,Profile-guided and feedback-directed optimization,Profile-guided code layout,A,partial,
222,XV,Profile-guided and feedback-directed optimization,Profile-guided data layout,A,partial,
223,XV,Profile-guided and feedback-directed optimization,Profile-guided specialization,A,partial,
224,XV,Profile-guided and feedback-directed optimization,Profile-guided optimization-budget allocation,A,partial,
225,XV,Profile-guided and feedback-directed optimization,Profile evidence never changes semantic meaning,A,partial,
226,XVI,Post-link / binary optimization,BOLT-like basic-block layout,D,protocol,
227,XVI,Post-link / binary optimization,Function reordering,D,protocol,
228,XVI,Post-link / binary optimization,Hot/cold splitting,D,protocol,
229,XVI,Post-link / binary optimization,Identical code folding,D,protocol,
230,XVI,Post-link / binary optimization,Constant merging,D,protocol,
231,XVI,Post-link / binary optimization,Section ordering,D,protocol,
232,XVI,Post-link / binary optimization,Relocation reduction,D,protocol,
233,XVI,Post-link / binary optimization,Startup page minimization,D,protocol,
234,XVI,Post-link / binary optimization,I-cache packing,D,protocol,
235,XVI,Post-link / binary optimization,Branch-distance optimization,D,protocol,
236,XVI,Post-link / binary optimization,Thunk elimination,D,protocol,
237,XVI,Post-link / binary optimization,PLT/GOT bypass where sealed,D,protocol,
238,XVI,Post-link / binary optimization,Direct call relaxation,D,protocol,
239,XVI,Post-link / binary optimization,Link-time dead stripping from semantic reachability,D,protocol,
240,XVI,Post-link / binary optimization,Semantic-aware post-link optimization preserving lineage back to graph ids,D,protocol,
241,XVII,Whole-program and closed-world optimization,Exact reachable relation closure,C,partial,15
242,XVII,Whole-program and closed-world optimization,Runtime library DCE,C,partial,
243,XVII,Whole-program and closed-world optimization,Dynamic lookup elimination,C,partial,
244,XVII,Whole-program and closed-world optimization,Metatable elimination,C,partial,
245,XVII,Whole-program and closed-world optimization,Reflection elimination or partial retention,C,partial,
246,XVII,Whole-program and closed-world optimization,Scheduler elimination,C,partial,
247,XVII,Whole-program and closed-world optimization,GC elimination,C,partial,
248,XVII,Whole-program and closed-world optimization,Exception runtime elimination,C,partial,
249,XVII,Whole-program and closed-world optimization,Allocator elimination,C,partial,
250,XVII,Whole-program and closed-world optimization,Foreign adapter elimination,C,partial,
251,XVII,Whole-program and closed-world optimization,Module system elimination after ingress,C,partial,
252,XVII,Whole-program and closed-world optimization,Constant world folding,C,partial,
253,XVII,Whole-program and closed-world optimization,Cross-package inlining,C,partial,
254,XVII,Whole-program and closed-world optimization,Whole-program shape sealing,C,partial,
255,XVII,Whole-program and closed-world optimization,Whole-program ownership/lifetime inference,C,partial,
256,XVIII,Numerical computing beyond primitive-zero,Arbitrary precision exact constants retained until demand,C,partial,
257,XVIII,Numerical computing beyond primitive-zero,Known-bits analysis,C,partial,
258,XVIII,Numerical computing beyond primitive-zero,Range-selected machine width,C,partial,
259,XVIII,Numerical computing beyond primitive-zero,Overflow-law propagation,C,partial,
260,XVIII,Numerical computing beyond primitive-zero,Signed/unsigned operation convergence where laws coincide,C,partial,
261,XVIII,Numerical computing beyond primitive-zero,Mixed precision,C,partial,
262,XVIII,Numerical computing beyond primitive-zero,Error-bound propagation,C,partial,
263,XVIII,Numerical computing beyond primitive-zero,Floating-point reassociation under explicit lawsets,C,partial,
264,XVIII,Numerical computing beyond primitive-zero,Interval arithmetic,C,partial,
265,XVIII,Numerical computing beyond primitive-zero,Affine arithmetic,C,partial,
266,XVIII,Numerical computing beyond primitive-zero,Stochastic rounding,C,partial,
267,XVIII,Numerical computing beyond primitive-zero,Posit/bfloat/fp8 target realization where demanded,C,partial,
268,XVIII,Numerical computing beyond primitive-zero,"Fast-math as granular facts, never one unsafe switch",C,partial,
269,XVIII,Numerical computing beyond primitive-zero,Polynomial approximation synthesis,C,partial,
270,XVIII,Numerical computing beyond primitive-zero,Range-reduced transcendental specialization,C,partial,
271,XVIII,Numerical computing beyond primitive-zero,FMA formation,C,partial,
272,XVIII,Numerical computing beyond primitive-zero,Reciprocal approximation + refinement,C,partial,
273,XVIII,Numerical computing beyond primitive-zero,Vector math library substitution,C,partial,
274,XVIII,Numerical computing beyond primitive-zero,Exact algebraic simplification before rounding commitment,C,partial,
275,XIX,Automatic differentiation and semantic derivatives,Forward-mode AD,B,protocol,
276,XIX,Automatic differentiation and semantic derivatives,Reverse-mode AD,B,protocol,
277,XIX,Automatic differentiation and semantic derivatives,Mixed-mode AD,B,protocol,
278,XIX,Automatic differentiation and semantic derivatives,Higher derivatives,B,protocol,
279,XIX,Automatic differentiation and semantic derivatives,Sparse Jacobian/Hessian structure,B,protocol,
280,XIX,Automatic differentiation and semantic derivatives,Checkpointing vs recomputation choice,B,protocol,
281,XIX,Automatic differentiation and semantic derivatives,Activity analysis as demand,B,protocol,
282,XIX,Automatic differentiation and semantic derivatives,Differentiability laws as relation facts,B,protocol,
283,XIX,Automatic differentiation and semantic derivatives,Custom derivative relation laws,B,protocol,
284,XIX,Automatic differentiation and semantic derivatives,Derivative optimization through same graph,B,protocol,
285,XIX,Automatic differentiation and semantic derivatives,Incremental change algebra and calculus unified where possible,B,protocol,
286,XX,Probabilistic / approximate computing,Probabilistic values/distributions as semantic domains where actually demanded,B,law,
287,XX,Probabilistic / approximate computing,Expectation/moment demand,B,law,
288,XX,Probabilistic / approximate computing,Approximate inference selection,B,law,
289,XX,Probabilistic / approximate computing,Sampling strategy realization,B,law,
290,XX,Probabilistic / approximate computing,Accuracy-cost Pareto realization,B,law,
291,XX,Probabilistic / approximate computing,Confidence interval propagation,B,law,
292,XX,Probabilistic / approximate computing,Approximate memoization,B,law,
293,XX,Probabilistic / approximate computing,Probabilistic profiling / uncertain cost models,B,law,
294,XX,Probabilistic / approximate computing,Error-tolerant computation elimination,B,law,
295,XX,Probabilistic / approximate computing,Approximate storage/compression,B,law,
296,XX,Probabilistic / approximate computing,Monte-Carlo vs analytic realization selection,B,law,
297,XXI,Reversible computing / information theory,Track information destruction explicitly,E,research,
298,XXI,Reversible computing / information theory,Invertible relation facts,E,research,
299,XXI,Reversible computing / information theory,Reversible realization where energy/security/rollback demand rewards it,E,research,
300,XXI,Reversible computing / information theory,Recompute vs store from invertibility,E,research,
301,XXI,Reversible computing / information theory,Minimal sufficient state for recovery,E,research,
302,XXI,Reversible computing / information theory,Entropy/information-content-driven representation,E,research,
303,XXI,Reversible computing / information theory,Lossless compression selected from proven distributions/structure,E,research,
304,XXI,Reversible computing / information theory,Lower bounds from information theory,E,research,
305,XXII,Capability machines and authority algebra,Authority derivation graph,C,partial,18
306,XXII,Capability machines and authority algebra,Monotonic authority attenuation,C,partial,
307,XXII,Capability machines and authority algebra,Capability bounds as semantic facts,C,partial,
308,XXII,Capability machines and authority algebra,Permission sets,C,partial,
309,XXII,Capability machines and authority algebra,Sealed/opaque authority,C,partial,
310,XXII,Capability machines and authority algebra,Delegation,C,partial,
311,XXII,Capability machines and authority algebra,Revocation,C,partial,
312,XXII,Capability machines and authority algebra,Temporal authority,C,partial,
313,XXII,Capability machines and authority algebra,World-local capabilities,C,partial,
314,XXII,Capability machines and authority algebra,Proof of authority carried to machine access,C,partial,
315,XXII,Capability machines and authority algebra,Hardware CHERI realization where target provides it,C,partial,
316,XXII,Capability machines and authority algebra,Software capability erasure when static proof makes runtime checks unnecessary,C,partial,
317,XXIII,Injection algebra / context algebra,"Injection as fact extension, not dependency-container lookup",C,partial,19
318,XXIII,Injection algebra / context algebra,Projection as fact restriction / view,C,partial,
319,XXIII,Injection algebra / context algebra,Interjection as scoped replacement/override of a fact,C,partial,
320,XXIII,Injection algebra / context algebra,World composition,C,partial,
321,XXIII,Injection algebra / context algebra,World intersection,C,partial,
322,XXIII,Injection algebra / context algebra,World difference,C,partial,
323,XXIII,Injection algebra / context algebra,World refinement,C,partial,
324,XXIII,Injection algebra / context algebra,World sealing,C,partial,
325,XXIII,Injection algebra / context algebra,World morphisms between compatible fact domains,C,partial,
326,XXIII,Injection algebra / context algebra,Injection commutativity rules,C,partial,
327,XXIII,Injection algebra / context algebra,Injection shadowing/conflict rules,C,partial,
328,XXIII,Injection algebra / context algebra,Idempotent injections where facts match,C,partial,
329,XXIII,Injection algebra / context algebra,Monotone injection of authority,C,partial,
330,XXIII,Injection algebra / context algebra,Nonmonotone override explicitly distinguished from extension,C,partial,
331,XXIII,Injection algebra / context algebra,Injection provenance,C,partial,
332,XXIII,Injection algebra / context algebra,Injection lifetime/stage,C,partial,
333,XXIII,Injection algebra / context algebra,Injection dependencies,C,partial,
334,XXIII,Injection algebra / context algebra,Injected fact specialization,C,partial,
335,XXIII,Injection algebra / context algebra,World parameter elimination when injected fact is statically known,C,partial,
336,XXIII,Injection algebra / context algebra,World difference as minimal environment required by a relation,C,partial,
337,XXIII,Injection algebra / context algebra,Automatic environment minimization,C,partial,
338,XXIII,Injection algebra / context algebra,Capability inference from required effects,C,partial,
339,XXIII,Injection algebra / context algebra,Inverse injection queries: what facts must be supplied to make this application valid?,C,partial,
340,XXIII,Injection algebra / context algebra,Partial world solving,C,partial,
341,XXIII,Injection algebra / context algebra,Cross-world equivalence,C,partial,
342,XXIII,Injection algebra / context algebra,World quotienting,C,partial,
343,XXIII,Injection algebra / context algebra,Injection fusion,C,partial,
344,XXIII,Injection algebra / context algebra,Injection hoisting/sinking according to lifetime and demand,C,partial,
345,XXIII,Injection algebra / context algebra,World caching by exact fact closure,C,partial,
346,XXIV,Optics / lenses / bidirectional transformations,Lens-like get/update laws,B,research,
347,XXIV,Optics / lenses / bidirectional transformations,Prisms for variant/case projection,B,research,
348,XXIV,Optics / lenses / bidirectional transformations,Traversals for structured multi-focus projection,B,research,
349,XXIV,Optics / lenses / bidirectional transformations,Bidirectional transformations,B,research,
350,XXIV,Optics / lenses / bidirectional transformations,Update propagation from projection back to source,B,research,
351,XXIV,Optics / lenses / bidirectional transformations,View maintenance,B,research,
352,XXIV,Optics / lenses / bidirectional transformations,Projection fusion,B,research,
353,XXIV,Optics / lenses / bidirectional transformations,Projection commutation,B,research,
354,XXIV,Optics / lenses / bidirectional transformations,Projection inversion where lawful,B,research,
355,XXIV,Optics / lenses / bidirectional transformations,Projection-demand analysis,B,research,
356,XXIV,Optics / lenses / bidirectional transformations,Automatic materialized view synthesis,B,research,
357,XXIV,Optics / lenses / bidirectional transformations,Minimal update propagation,B,research,
358,XXV,Semiring / provenance algebra,Multiple provenance modes over the same graph,C,partial,
359,XXV,Semiring / provenance algebra,Why-provenance,C,partial,
360,XXV,Semiring / provenance algebra,Where-provenance,C,partial,
361,XXV,Semiring / provenance algebra,How-provenance,C,partial,
362,XXV,Semiring / provenance algebra,Weighted provenance,C,partial,
363,XXV,Semiring / provenance algebra,Trust/confidence provenance,C,partial,
364,XXV,Semiring / provenance algebra,Cost provenance,C,partial,
365,XXV,Semiring / provenance algebra,Transformation provenance,C,partial,
366,XXV,Semiring / provenance algebra,Source→machine provenance composition,C,partial,
